BGP table version is 0, local router ID is 100.100.174.206
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 10.0.126.38/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.39/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.40/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.41/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.42/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.43/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.44/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.45/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.46/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.126.47/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.0/32    100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.127.1/32    100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.127.2/32    100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.127.3/32    100.100.243.130                        0 65084 64601 64610 64698 i
*> 10.0.127.4/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.5/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.6/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.7/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.8/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.9/32    100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.10/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.11/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.12/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.13/32   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.16/31   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.18/31   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.20/31   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.22/31   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.24/31   100.100.243.130                        0 65084 64601 64639 64698 i
*> 10.0.127.30/31   100.100.243.130                        0 65084 64601 64641 64698 i
*> 10.0.144.0/20    100.100.243.130                        0 65084 64601 i
*> 10.0.144.0/23    100.100.243.130                        0 65084 64601 i
*> 10.0.144.0/28    100.100.243.130                        0 65084 64601 i
*> 10.0.144.16/28   100.100.243.130                        0 65084 64601 i
*> 10.0.144.32/28   100.100.243.130                        0 65084 64601 i
*> 10.0.144.48/28   100.100.243.130                        0 65084 64601 i
*> 10.0.144.64/28   100.100.243.130                        0 65084 64601 i
*> 10.0.144.80/28   100.100.243.130                        0 65084 64601 i
*> 10.0.144.96/28   100.100.243.130                        0 65084 64601 i
*> 10.0.144.112/28  100.100.243.130                        0 65084 64601 i
*> 10.0.144.160/28  100.100.243.130                        0 65084 64601 i
*> 10.0.144.176/28  100.100.243.130                        0 65084 64601 i
*> 10.0.144.192/28  100.100.243.130                        0 65084 64601 i
*> 10.0.144.208/28  100.100.243.130                        0 65084 64601 i
*> 10.0.144.224/28  100.100.243.130                        0 65084 64601 i
*> 10.0.144.240/28  100.100.243.130                        0 65084 64601 i
*> 10.0.145.64/28   100.100.243.130                        0 65084 64601 i
*> 10.0.145.80/28   100.100.243.130                        0 65084 64601 i
*> 10.0.145.96/28   100.100.243.130                        0 65084 64601 i
*> 10.0.145.112/28  100.100.243.130                        0 65084 64601 i
*> 10.0.147.160/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.147.161/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.147.162/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.147.163/32  100.100.243.130                        0 65084 64601 64619 64698 i
*> 10.0.147.164/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.165/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.166/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.167/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.168/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.169/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.170/32  100.100.243.130                        0 65084 64601 64621 64698 i
*> 10.0.147.171/32  100.100.243.130                        0 65084 64601 64621 64698 i
